Year,Season,T_degC,Salnty,STheta
1949.0,2.0,10.457389023405973,33.54806577885392,25.712889830508477
1949.0,3.0,10.339411354928597,33.53103761755486,25.716322187391153
1949.0,4.0,10.481904191616765,33.49775209580838,25.665845508982034
1950.0,1.0,33.61782260726073,33.61782260726073,33.61782260726073
1950.0,2.0,10.134502353732348,33.63561129791526,25.844010087424348
1950.0,3.0,9.973454492585054,33.58800174469323,25.827277115440534
1950.0,4.0,11.794063348416291,33.9799665158371,25.819709502262445
1951.0,1.0,33.59738873994638,33.59738873994638,33.59738873994638
1951.0,2.0,10.24939672801636,33.73484662576687,25.900802658486707
1951.0,3.0,11.699008746355684,34.0989941690962,25.924240524781343
1951.0,4.0,9.254193548387098,33.79706451612903,26.135870967741933
1952.0,1.0,33.765945714285714,33.765945714285714,33.68416714285714
1952.0,2.0,10.279019297690605,33.697286301803224,25.869927554571337
1952.0,3.0,10.36987629886195,33.705590796635335,25.866103414151407
1952.0,4.0,10.421855072463767,33.66300869565218,25.823840579710147
1953.0,1.0,33.74309932967702,33.74309932967702,33.74309932967702
1953.0,2.0,10.311811440677964,33.77438215042373,25.925606461864405
1953.0,3.0,10.514250000000002,33.84114102564103,25.94656794871795
1953.0,4.0,10.624660056657223,33.78680169971671,25.88549150141643
1954.0,1.0,33.78707407407407,33.78707407407407,31.455539539539544
1954.0,2.0,10.440176211453746,33.69800342633383,25.844567302985805
1954.0,3.0,10.939391513210568,33.697489191353085,25.75071817453963
1954.0,4.0,11.555425867507887,33.79915772870662,25.71599211356467
1955.0,1.0,33.81920182440137,33.81920182440137,31.309215507411633
1955.0,2.0,10.600143198090693,33.732941925218775,25.841961018297535
1955.0,3.0,11.796979236436703,33.84039819156062,25.660241460147354
1955.0,4.0,10.488885658914729,33.83647286821706,25.94372189922481
1956.0,1.0,33.96976955964087,33.96976955964087,30.93583625480975
1956.0,2.0,10.156114971572963,33.753679090334806,25.93530448515477
1956.0,3.0,11.870588235294116,33.65323529411765,25.565
1956.0,4.0,14.392670537010158,34.655587808418,25.811712626995647
