Year,Season,T_degC,Salnty,STheta
1949.0,2.0,14.742730278696268,33.28269059990553,24.669852621634387
1949.0,3.0,16.87987040133779,33.259035117056854,24.16653219063545
1949.0,4.0,15.90880706921944,33.23464653902798,24.37227540500736
1950.0,1.0,33.35493072289157,33.35493072289157,33.35493072289157
1950.0,2.0,13.984927355749274,33.317026151930264,24.863407638024075
1950.0,3.0,15.695420184961803,33.222547647768394,24.396908725371933
1950.0,4.0,19.496931690929454,33.83848712206047,23.96206830907055
1951.0,1.0,33.277355828220855,33.277355828220855,33.277355828220855
1951.0,2.0,15.037598039215686,33.37550490196079,24.6861262254902
1951.0,3.0,18.49972850678733,33.689662895927604,24.07376470588235
1951.0,4.0,17.280786516853933,33.49503370786517,24.257078651685394
1952.0,1.0,33.64072350993378,33.64072350993378,33.03431456953643
1952.0,2.0,14.249404209775241,33.374385301462716,24.84785479843026
1952.0,3.0,15.97327524575514,33.39165907059875,24.46579758713137
1952.0,4.0,16.1172852233677,33.34362714776632,24.413491408934707
1953.0,1.0,33.445371217215865,33.445371217215865,33.445371217215865
1953.0,2.0,13.912767561049138,33.50602381670184,25.02168284594513
1953.0,3.0,15.734018754186202,33.52224514400536,24.621928332217017
1953.0,4.0,15.503826086956522,33.57308198757764,24.728262111801243
1954.0,1.0,33.645721786360895,33.645721786360895,30.113897404948705
1954.0,2.0,14.076087533156498,33.40938793103449,24.910970159151194
1954.0,3.0,16.715467980295568,33.46431921182266,24.35400985221675
1954.0,4.0,16.877843137254903,33.55429946524064,24.38086452762923
1955.0,1.0,33.60424694189602,33.60424694189602,30.707730122324154
1955.0,2.0,14.164911550468261,33.546587929240374,25.00481165452653
1955.0,3.0,16.392162282657154,33.6930312082033,24.589058403923318
1955.0,4.0,15.409319955406911,33.69038350055741,24.842321070234117
1956.0,1.0,33.84059788359789,33.84059788359789,29.664458553791885
1956.0,2.0,14.028814270724029,33.4448740818468,24.9502518363064
1956.0,3.0,16.645546218487397,33.57453781512604,24.45768067226891
1956.0,4.0,23.54914948453608,34.74366494845361,23.533481958762888
1957.0,1.0,34.59716857610475,34.59716857610475,31.037797872340423
1957.0,2.0,18.16765614938828,34.04523116548616,24.437323245331616
1957.0,3.0,21.47096402877698,34.13342661870503,23.623436690647484
1957.0,4.0,15.375982905982903,33.5206623931624,24.739384615384616
1958.0,1.0,33.97945677966102,33.97945677966102,32.82796186440678
1958.0,2.0,15.914665817950352,33.452360280076384,24.52919478039465
1958.0,3.0,19.28814696485623,33.68646462802373,23.877664536741214
1958.0,4.0,16.163522975929975,33.49622757111597,24.54747921225383
1959.0,1.0,33.78235087719299,33.78235087719299,32.86515087719299
1959.0,2.0,16.679894058037767,33.622418240442194,24.49572362966375
1959.0,3.0,18.651713500305437,33.70640775809408,24.070937385461207
1959.0,4.0,16.107745901639344,33.58722950819672,24.63118032786885
1960.0,1.0,33.70638574840764,33.70638574840764,32.873844745222925
1960.0,2.0,15.829453441295547,33.596924426450734,24.6682665317139
1960.0,3.0,17.230297674418605,33.61548093023256,24.355117209302325
1960.0,4.0,16.691099166870117,33.643104553222656,24.344987869262695
1961.0,1.0,33.58309171270718,33.58309171270718,33.58309171270718
1961.0,2.0,16.14816304347826,33.66866195652174,24.63478260869565
1961.0,3.0,16.9014623655914,33.60413440860215,24.429154838709678
1961.0,4.0,16.458566665649414,33.77958679199219,24.341590881347656
1962.0,1.0,33.65074722838137,33.65074722838137,33.65074722838137
1962.0,2.0,16.988711433756805,33.68223049001815,24.478079854809437
1962.0,3.0,17.343498964803313,33.705163561076596,24.39991718426501
1962.0,4.0,15.616935483870968,33.606838709677426,24.760354838709677
1963.0,1.0,33.67904153686397,33.67904153686397,33.10948598130841
1963.0,2.0,16.664564315352695,33.64454979253112,24.513763485477178
1963.0,3.0,18.81849282296651,33.67203349282297,24.00904545454545
1963.0,4.0,23.121882352941174,35.07209411764706,23.89925882352941
1964.0,1.0,33.644424785658614,33.644424785658614,33.644424785658614
1964.0,2.0,14.212015706806282,33.68095986038395,25.07892582897033
1964.0,3.0,15.615702479338843,33.516314049586775,24.667041322314052
1964.0,4.0,17.30760955810547,33.95676040649414,24.409748077392578
1965.0,1.0,33.593248691099475,33.593248691099475,33.593248691099475
1965.0,2.0,16.17722005208333,33.68788736979167,24.644507812499995
1965.0,3.0,17.710124969482422,33.90317916870117,24.751903533935547
1965.0,4.0,16.816566467285156,33.636505126953125,24.120216369628906
1966.0,1.0,33.45327058823529,33.45327058823529,33.45327058823529
1966.0,2.0,15.60724761904762,33.51412761904762,24.656738095238097
1966.0,3.0,17.100809248554913,33.44386705202312,24.275976878612713
1966.0,4.0,16.017802850356297,33.45046437054632,24.531513064133016
1967.0,1.0,33.45046437054632,33.45046437054632,24.531513064133016
1967.0,2.0,15.537688888888889,33.47165555555556,24.649631111111113
1967.0,3.0,18.9360294342041,33.408416748046875,24.057891845703125
1967.0,4.0,17.477076923076925,33.62225128205128,24.327458974358976
1968.0,1.0,33.43822847100176,33.43822847100176,30.252842706502637
1968.0,2.0,13.821127129750984,33.53261074705111,25.060909567496726
1968.0,3.0,17.09481430053711,33.66326904296875,24.201587677001953
1968.0,4.0,17.74292755126953,34.035980224609375,24.31761932373047
1969.0,1.0,33.37074868474302,33.37074868474302,33.37074868474302
1969.0,2.0,15.055177442877978,33.455652406417116,24.73848857559553
1969.0,3.0,16.908829049367604,33.51394369645043,24.346838433292536
1969.0,4.0,16.295839727195226,33.4416589940324,24.462859335038363
1970.0,1.0,33.4416589940324,33.4416589940324,24.462859335038363
1970.0,2.0,21.198,35.1765,24.5226
1970.0,3.0,16.641843971631207,33.29352482269504,24.23677304964539
1970.0,4.0,18.975263595581055,33.95784378051758,24.679119110107422
1971.0,1.0,33.279655,33.279655,33.279655
1971.0,2.0,15.550989151000977,33.29378128051758,24.561141967773438
1971.0,3.0,17.34273910522461,33.855445861816406,24.642425537109375
1971.0,4.0,16.49474334716797,33.35721969604492,24.057464599609375
1972.0,1.0,33.69195276497696,33.69195276497696,33.69195276497696
1972.0,2.0,15.515895833333333,33.554010416666664,24.674605
1972.0,3.0,19.116568914956012,33.73253079178886,23.936192082111436
1972.0,4.0,17.031545639038086,34.07109832763672,24.661222457885742
1973.0,1.0,33.87467575073242,33.467533111572266,31.983415603637695
